,Unnamed: 0,Volume,Last,Chg,% Chg
0,Praxis Precision Medicines Inc. (PRAX),11.1M,176.97,119.62,208.58
1,rYojbaba Co. Ltd. (RYOJ),22.4M,3.64,1.48,67.97
2,Earlyworks Co. Ltd. ADR (ELWS),20.2M,6.05,2.37,64.4
3,Nova Minerals Ltd. ADR (NVA),2.0M,69.76,15.18,27.81
4,Energous Corp. (WATT),1.8M,11.1,2.21,24.78
5,J.B. Hunt Transport Services Inc. (JBHT),3.4M,166.08,27.25,19.63
6,C4 Therapeutics Inc. (CCCC),5.8M,2.63,0.41,18.38
7,Whitehawk Therapeutics Inc. (WHWK),86.4M,2.48,0.38,18.04
8,Agroz Inc. (AGRZ),243.2K,5.2,0.73,16.33
9,BTQ Technologies Corp. (BTQ),13.6M,12.44,1.65,15.29
10,Personalis Inc. (PSNL),1.4M,9.6,1.07,12.54
11,Quhuo Ltd. ADR (QH),580.9K,7.96,0.85,11.95
12,Clean Energy Technologies Inc. (CETY),950.0K,2.9,0.3,11.73
13,17 Education & Technology Group Inc. ADR (YQ),60.0K,6.08,0.62,11.36
14,Metagenomi Inc. (MGX),2.9M,3.48,0.35,11.34
15,GRAIL Inc. (GRAL),1.2M,83.88,8.36,11.06
16,McEwen Inc. (MUX),2.5M,23.88,2.37,11.03
17,Standard Lithium Ltd. (SLI),10.8M,5.67,0.55,10.74
18,NextCure Inc. (NXTC),268.8K,7.51,0.7,10.28
19,Turn Therapeutics Inc. (TTRX),316.9K,5.62,0.52,10.2
20,Real Messenger Corp. (RMSG),225.7K,2.89,0.25,9.47
21,Professional Diversity Network Inc. (IPDN),117.2K,4.2,0.35,9.09
22,Planet Green Holdings Corp. (PLAG),932.3K,2.28,0.19,9.09
23,DBV Technologies S.A. ADR (DBVT),222.1K,17.36,1.45,9.08
24,Fitell Corp. (FTEL),151.4K,4.76,0.39,8.93
25,Hycroft Mining Holding Corp. (HYMC),1.8M,9.31,0.73,8.51
26,Digi Power X Inc. (DGXX),3.9M,3.85,0.3,8.44
27,Prenetics Global Ltd. (PRE),142.4K,16.05,1.21,8.12
28,Hecla Mining Co. (HL),10.9M,15.27,1.11,7.84
29,Corbus Pharmaceuticals Holdings Inc. (CRBP),311.4K,18.86,1.36,7.8
30,Crescent Biopharma Inc. (CBIO),345.7K,12.15,0.86,7.62
31,Kyivstar Group Ltd. (KYIV),737.5K,13.71,0.97,7.61
32,Above Food Ingredients Inc. (ABVE),7.0M,5.44,0.38,7.56
33,TScan Therapeutics Inc. (TCRX),584.6K,2.4,0.17,7.53
34,Gold Fields Ltd. ADR (GFI),2.7M,47.08,3.29,7.51
35,Triumph Financial Inc. (TFIN),327.6K,51.46,3.57,7.45
36,Optex Systems Holdings Inc. (OPXS),73.9K,16.19,1.11,7.4
37,Endeavour Silver Corp. (EXK),11.0M,10.19,0.7,7.38
38,Sibanye-Stillwater Ltd. ADR (SBSW),7.9M,12.98,0.89,7.32
39,Delcath Systems Inc. (DCTH),549.3K,12.14,0.82,7.29
40,bioAffinity Technologies Inc. (BIAF),16.7M,2.9,0.19,7.01
41,Sionna Therapeutics Inc. (SION),214.5K,33.04,2.13,6.88
42,Auddia Inc. (AUUD),35.5M,2.19,0.14,6.83
43,Belite Bio Inc. ADR (BLTE),54.1K,86.68,5.42,6.68
44,Synergy CHC Corp. (SNYR),92.1K,2.34,0.14,6.62
45,Aqua Metals Inc. (AQMS),7.8M,14.85,0.91,6.53
46,A-Mark Precious Metals Inc. (AMRK),226.4K,29.75,1.8,6.44
47,Mingteng International Corp. Inc. (MTEN),447.9K,3.98,0.23,6.13
48,Korro Bio Inc. (KRRO),103.8K,54.51,3.15,6.13
49,AXT Inc. (AXTI),1.0M,4.87,0.28,6.1
50,Scorpio Tankers Inc. (STNG),299.3K,57.85,3.28,6.01
51,Western Digital Corp. (WDC),8.4M,127.67,7.23,6.0
52,RxSight Inc. (RXST),288.2K,8.37,0.47,5.95
53,Dakota Gold Corp. (DC),669.9K,5.44,0.3,5.95
54,Xencor Inc. (XNCR),613.0K,14.92,0.82,5.82
55,LivePerson Inc. (LPSN),362.5K,6.11,0.33,5.71
56,TFI International Inc. (TFII),107.3K,94.05,5.05,5.67
57,Yatsen Holding Ltd. ADR (YSG),235.1K,8.78,0.47,5.6
58,Bruker Corp. (BRKR),1.6M,38.21,2.01,5.55
59,SuperCom Ltd. (SPCB),95.6K,10.85,0.57,5.54
60,QuidelOrtho Corp. (QDEL),512.6K,28.82,1.51,5.53
61,Acacia Research Corp. - Acacia Technologies (ACTG),232.4K,3.64,0.19,5.51
62,Caris Life Sciences Inc. (CAI),384.4K,32.88,1.72,5.5
63,Enerpac Tool Group Corp. Cl A (EPAC),274.5K,42.52,2.21,5.48
64,AngloGold Ashanti PLC (AU),1.7M,79.31,4.09,5.44
65,Imunon Inc. (IMNN),68.4K,5.06,0.26,5.42
66,Silvercorp Metals Inc. (SVM),6.3M,7.56,0.39,5.36
67,Adverum Biotechnologies Inc. (ADVM),118.9K,4.72,0.24,5.36
68,Knight-Swift Transportation Holdings Inc. Cl A (KNX),2.6M,46.55,2.35,5.32
69,Avantor Inc. (AVTR),6.5M,14.6,0.73,5.3
70,Tvardi Therapeutics Inc. (TVRD),598.9K,6.99,0.35,5.27
71,Ensysce Biosciences Inc. (ENSC),175.9K,2.6,0.13,5.26
72,Eldorado Gold Corp. (EGO),1.8M,30.71,1.53,5.25
73,ASE Technology Holding Co. Ltd. ADR (ASX),9.9M,12.55,0.62,5.17
74,Linkhome Holdings Inc. (LHAI),744.0K,9.98,0.49,5.16
75,Fomento Economico Mexicano S.A.B. de C.V. ADR (FMX),205.4K,95.7,4.69,5.15
76,4D Molecular Therapeutics Inc. (FDMT),387.3K,10.47,0.51,5.12
77,PMGC Holdings Inc. (ELAB),308.5K,7.82,0.38,5.11
78,Micron Technology Inc. (MU),25.3M,201.72,9.78,5.09
79,DRDGOLD Ltd. ADR (DRD),350.1K,31.64,1.5,4.98
80,Ramaco Resources Inc. Cl A (METC),2.7M,50.2,2.35,4.92
81,Nukkleus Inc. (NUKK),2.3M,13.75,0.64,4.88
82,Celestica Inc. (CLS),2.8M,283.11,13.15,4.87
83,FTC Solar Inc. (FTCI),68.6K,9.24,0.42,4.82
84,Vicor Corp. (VICR),295.8K,60.07,2.76,4.82
