,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg vol (3m),Market cap,P/E Ratio (TTM),52 Wk Change %,52 Wk range
0,CRML,Critical Metals Corp.,,23.28 +8.30 (+55.41%),8.3,+55.41%,61.879M,9.954M,2.489B,--,+123.25%,1.23 23.67
1,UAMY,United States Antimony Corporation,,16.71 +4.50 (+36.82%),4.5,+36.82%,41.822M,8.55M,2.249B,--,"+1,619.72%",0.49 17.27
2,BITF,Bitfarms Ltd.,,5.39 +1.19 (+28.33%),1.19,+28.33%,146.564M,58.179M,2.979B,--,+119.90%,0.67 5.42
3,BE,Bloom Energy Corporation,,109.94 +23.07 (+26.56%),23.07,+26.56%,27.083M,12.526M,25.726B,999.45,+730.50%,9.02 115.20
4,RGTI,"Rigetti Computing, Inc.",,54.91 +10.99 (+25.02%),10.99,+25.02%,163.306M,65.751M,17.8B,--,"+5,116.15%",0.79 55.23
5,POWI,"Power Integrations, Inc.",,43.15 +8.51 (+24.57%),8.51,+24.57%,7.009M,634589,2.421B,73.14,-46.67%,34.55 69.53
6,QBTS,D-Wave Quantum Inc.,,40.56 +7.54 (+22.83%),7.54,+22.83%,84.801M,49.877M,13.872B,--,"+3,169.31%",0.98 41.97
7,EOSE,"Eos Energy Enterprises, Inc.",,17.05 +3.23 (+23.37%),3.23,+23.37%,41.165M,16.661M,4.761B,--,+337.34%,2.06 17.36
8,BBAI,"BigBear.ai Holdings, Inc.",,8.81 +1.59 (+22.01%),1.59,+22.01%,205.429M,93.08M,3.266B,--,+278.01%,1.51 10.36
9,MP,MP Materials Corp.,,95.06 +16.72 (+21.33%),16.72,+21.33%,48.522M,15.506M,16.835B,--,+341.10%,15.56 98.97
10,FLNC,"Fluence Energy, Inc.",,15.89 +2.80 (+21.39%),2.8,+21.39%,10.086M,5.619M,2.9B,--,-40.15%,3.46 24.00
11,NVTS,Navitas Semiconductor Corporation,,9.97 +1.74 (+21.14%),1.74,+21.14%,123.198M,27.845M,2.125B,--,+226.59%,1.52 10.41
12,FORD,"Forward Industries, Inc.",,24.58 +4.19 (+20.55%),4.19,+20.55%,508307,294598,2.114B,--,+474.37%,3.30 46.00
13,TMC,TMC the metals company Inc.,,10.69 +1.80 (+20.32%),1.8,+20.32%,27.659M,10.42M,5.641B,--,+771.08%,0.72 11.35
14,CIFR,Cipher Mining Inc.,,20.34 +3.37 (+19.86%),3.37,+19.86%,57.288M,39.554M,7.999B,--,+292.82%,1.86 20.60
15,BTQ,BTQ Technologies Corp.,,12.08 +1.96 (+19.37%),1.96,+19.37%,9.006M,11.805M,2.083B,--,+92.40%,4.94 16.00
16,NNE,NANO Nuclear Energy Inc.,,54.44 +8.61 (+18.79%),8.61,+18.79%,7.372M,3.842M,2.267B,--,+160.55%,15.16 60.51
17,USAR,"USA Rare Earth, Inc.",,38.68 +6.07 (+18.61%),6.07,+18.61%,48.171M,8.914M,4.403B,--,+203.07%,5.56 43.98
18,METCB,"Ramaco Resources, Inc.",,21.67 +3.35 (+18.29%),3.35,+18.29%,218394,177296,3.32B,--,+74.95%,5.94 21.83
19,ONDS,Ondas Holdings Inc.,,10.81 +1.59 (+17.25%),1.59,+17.25%,51.174M,43.968M,3.774B,--,+843.71%,0.57 11.70
20,UUUU,Energy Fuels Inc.,,23.77 +3.43 (+16.89%),3.43,+16.89%,41.895M,17.328M,5.484B,--,+254.36%,3.20 25.69
21,IONQ,"IonQ, Inc.",,82.11 +11.46 (+16.22%),11.46,+16.22%,38.638M,24.559M,27.173B,--,+551.75%,10.33 84.64
22,OKLO,Oklo Inc.,,171.00 +23.84 (+16.20%),23.84,+16.20%,25.552M,20.097M,25.241B,--,"+1,365.74%",9.01 175.90
23,QS,QuantumScape Corporation,,16.99 +2.29 (+15.59%),2.29,+15.59%,62.2M,47.264M,9.617B,--,+163.44%,3.40 17.79
24,SEI,"Solaris Energy Infrastructure, Inc.",,51.97 +6.99 (+15.55%),6.99,+15.55%,4.652M,2.637M,3.513B,88.09,+224.53%,12.78 52.26
25,SNDK,Sandisk Corporation,,134.61 +17.70 (+15.14%),17.7,+15.14%,8.261M,4.831M,19.708B,--,+224.75%,27.89 137.05
26,AGX,"Argan, Inc.",,294.96 +38.81 (+15.15%),38.81,+15.15%,423808,393950,4.074B,35.32,+124.99%,101.02 295.00
27,BTDR,Bitdeer Technologies Group,,20.45 +2.67 (+15.02%),2.67,+15.02%,9.489M,4.94M,4.374B,--,+118.70%,6.84 26.99
28,SMR,NuScale Power Corporation,,45.02 +5.78 (+14.73%),5.78,+14.73%,28.048M,16.067M,6.028B,--,+181.49%,11.08 53.50
29,QUBT,Quantum Computing Inc.,,21.46 +2.44 (+12.86%),2.44,+12.86%,42.959M,28.08M,4.806B,--,"+2,522.76%",0.70 27.15
30,HUT,Hut 8 Corp.,,49.11 +5.54 (+12.72%),5.54,+12.72%,6.865M,5.686M,5.182B,34.34,+257.72%,10.04 51.30
31,LAC,Lithium Americas Corp.,,8.44 +0.95 (+12.69%),0.95,+12.69%,85.667M,32.03M,2.09B,--,+166.55%,2.31 9.48
32,RUN,Sunrun Inc.,,21.17 +2.37 (+12.61%),2.37,+12.61%,8.674M,13.899M,4.885B,--,+20.13%,5.38 21.19
33,SKE,Skeena Resources Limited,,20.55 +2.25 (+12.27%),2.25,+12.27%,1.076M,642185,2.488B,--,+103.56%,7.32 20.77
34,YELP,Yelp Inc.,,33.83 +3.56 (+11.76%),3.56,+11.76%,1.619M,860559,2.133B,15.52,-12.13%,29.96 41.72
35,METC,"Ramaco Resources, Inc.",,52.42 +5.22 (+11.06%),5.22,+11.06%,3.396M,3.471M,3.11B,--,+335.88%,6.30 54.10
36,AMBA,"Ambarella, Inc.",,80.95 +8.07 (+11.07%),8.07,+11.07%,932941,775885,3.456B,--,+21.28%,38.86 93.44
37,ARM,Arm Holdings plc,,171.94 +17.07 (+11.03%),17.07,+11.03%,10.416M,4.899M,182.13B,256.63,-4.33%,80.00 182.88
38,GRND,Grindr Inc.,,13.26 +1.30 (+10.87%),1.3,+10.87%,9.574M,2.056M,2.546B,--,-8.56%,11.73 25.13
39,EXK,Endeavour Silver Corp.,,8.49 +0.84 (+10.90%),0.84,+10.90%,14.59M,12.892M,2.465B,--,+77.73%,2.95 8.62
40,IE,Ivanhoe Electric Inc.,,15.97 +1.56 (+10.83%),1.56,+10.83%,2.747M,1.634M,2.121B,--,+58.18%,4.50 16.22
41,PSIX,"Power Solutions International, Inc.",,94.96 +9.24 (+10.78%),9.24,+10.78%,658191,746551,2.187B,19.74,+264.92%,15.30 121.78
42,SYM,Symbotic Inc.,,70.51 +6.72 (+10.53%),6.72,+10.53%,1.942M,2.228M,41.636B,--,+122.47%,16.32 72.11
43,VNET,"VNET Group, Inc.",,9.41 +0.90 (+10.64%),0.9,+10.64%,6.182M,6.937M,2.532B,--,+112.75%,3.17 16.13
44,ASTS,"AST SpaceMobile, Inc.",,90.50 +8.47 (+10.33%),8.47,+10.33%,12.744M,12.039M,32.713B,--,+226.55%,17.50 92.07
45,SOUN,"SoundHound AI, Inc.",,19.14 +1.78 (+10.25%),1.78,+10.25%,51.455M,60.663M,7.803B,--,+234.49%,4.86 24.98
46,LEU,Centrus Energy Corp.,,400.01 +36.30 (+9.98%),36.3,+9.98%,1.926M,1.424M,7.283B,64.73,+515.21%,49.40 430.00
47,BBY,"Best Buy Co., Inc.",,77.46 +7.03 (+9.97%),7.03,+9.97%,4.238M,3.401M,16.273B,21.34,-27.32%,54.99 99.80
48,ENTG,"Entegris, Inc.",,91.91 +8.27 (+9.89%),8.27,+9.89%,2.996M,2.721M,13.915B,47.13,-24.95%,60.75 112.36
49,AVGO,Broadcom Inc.,,356.70 +32.07 (+9.88%),32.07,+9.88%,42.494M,21.941M,1.684T,91.46,+78.06%,138.10 374.23
50,TAC,TransAlta Corporation,,17.09 +1.50 (+9.62%),1.5,+9.62%,6.589M,1.294M,5.066B,--,+51.95%,7.82 17.69
51,MKSI,MKS Inc.,,133.03 +11.77 (+9.71%),11.77,+9.71%,1.01M,1.193M,8.934B,33.68,+7.66%,54.84 142.20
52,ON,ON Semiconductor Corporation,,50.11 +4.37 (+9.55%),4.37,+9.55%,11.524M,8.697M,20.494B,47.72,-37.16%,31.04 76.06
