,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRML,Critical Metals Corp.,,29.97 +6.69 (+28.74%),6.69,+28.74%,82.835M,11.966M,3.204B,--,+326.32%,1.23 32.15
1,NVTS,Navitas Semiconductor Corporation,,12.57 +2.60 (+26.08%),2.6,+26.08%,153.656M,31.889M,2.679B,--,+385.33%,1.52 13.33
2,ERIC,Telefonaktiebolaget LM Ericsson (publ),,9.85 +1.68 (+20.56%),1.68,+20.56%,62.673M,13.008M,32.18B,12.63,+16.16%,6.64 9.87
3,LAC,Lithium Americas Corp.,,10.05 +1.62 (+19.22%),1.62,+19.22%,132.821M,35.306M,2.484B,--,+205.47%,2.31 10.11
4,OUST,"Ouster, Inc.",,36.16 +5.09 (+16.38%),5.09,+16.38%,4.433M,2.828M,2.091B,--,+380.85%,6.34 36.77
5,FLNC,"Fluence Energy, Inc.",,18.45 +2.56 (+16.11%),2.56,+16.11%,14.939M,5.873M,3.367B,--,-17.67%,3.46 24.00
6,DBRG,"DigitalBridge Group, Inc.",,13.48 +1.83 (+15.71%),1.83,+15.71%,13.673M,2.308M,2.623B,1348.00,-13.59%,6.41 17.33
7,ALM,Almonty Industries Inc.,,9.96 +1.32 (+15.28%),1.32,+15.28%,8.891M,1.39M,2.165B,--,+555.80%,1.17 10.27
8,ORLA,Orla Mining Ltd.,,13.13 +1.64 (+14.27%),1.64,+14.27%,11.798M,2.371M,4.279B,187.57,+186.06%,3.81 13.62
9,PII,Polaris Inc.,,69.90 +8.54 (+13.92%),8.54,+13.92%,4.194M,1.466M,3.93B,--,-15.89%,30.92 84.08
10,ACI,"Albertsons Companies, Inc.",,19.26 +2.31 (+13.63%),2.31,+13.63%,23.618M,6.485M,10.783B,11.40,+5.19%,16.70 23.20
11,PCT,"PureCycle Technologies, Inc.",,14.78 +1.61 (+12.22%),1.61,+12.22%,6.643M,2.799M,2.662B,--,+43.63%,5.40 17.37
12,WULF,TeraWulf Inc.,,15.46 +1.46 (+10.43%),1.46,+10.43%,76.609M,48.38M,6.341B,--,+197.31%,2.06 16.19
13,DLO,DLocal Limited,,15.68 +1.48 (+10.42%),1.48,+10.42%,5.353M,2.661M,4.605B,32.67,+69.15%,7.61 16.44
14,UUUU,Energy Fuels Inc.,,26.23 +2.46 (+10.35%),2.46,+10.35%,60.022M,18.338M,6.053B,--,+297.42%,3.20 26.88
15,DYN,"Dyne Therapeutics, Inc.",,15.45 +1.42 (+10.12%),1.42,+10.12%,2.018M,2.631M,2.198B,--,-56.36%,6.36 35.90
16,UI,Ubiquiti Inc.,,754.73 +67.88 (+9.88%),67.88,+9.88%,337429,172167,45.66B,64.12,+203.86%,243.53 773.95
17,MARA,"MARA Holdings, Inc.",,22.24 +2.00 (+9.88%),2.0,+9.88%,68.383M,56.507M,8.239B,11.96,+23.01%,9.81 30.28
18,CLSK,"CleanSpark, Inc.",,21.98 +1.94 (+9.68%),1.94,+9.68%,49.192M,26.701M,6.178B,25.56,+85.64%,6.45 22.68
19,BITF,Bitfarms Ltd.,,5.89 +0.50 (+9.28%),0.5,+9.28%,206.216M,63.312M,3.255B,--,+205.18%,0.67 6.20
20,ZGN,Ermenegildo Zegna N.V.,,9.55 +0.79 (+9.02%),0.79,+9.02%,1.952M,839009,2.427B,22.21,+14.10%,6.05 10.38
21,POWI,"Power Integrations, Inc.",,47.03 +3.88 (+8.99%),3.88,+8.99%,7.093M,855653,2.638B,79.71,-26.16%,34.55 69.53
22,SOUN,"SoundHound AI, Inc.",,20.86 +1.72 (+8.99%),1.72,+8.99%,69.321M,61.606M,8.504B,--,+297.33%,4.86 24.98
23,IREN,IREN Limited,,69.56 +5.42 (+8.45%),5.42,+8.45%,50.613M,34.382M,18.919B,178.36,+643.96%,5.13 72.30
24,JOBY,"Joby Aviation, Inc.",,18.11 +1.34 (+7.99%),1.34,+7.99%,107.244M,41.819M,16.137B,--,+226.31%,4.80 20.95
25,,,,,,,,,,,,
